      22.6 min  0	   105.51752 	15195.81642 	   0.81841 	 -43.89566 	 107.64879 	 380.08469 	  -0.01247 	   2.21768 	   1.48349 	   3.84811 	  -0.06062 	 210.75639 	  22.75393 	  -0.01248 	 334.49779 	 341.67340 	  52.98597 	 429.69306 	  -9.41598 	  -9.13164 	   0.00046 	   0.00014 	  10.56986 	  -4.94024 	  -6.14670 	   0.00374 	   0.00034 	 905.82925 	  -9.59948 	  -2.66356 	   1.13482 	   0.61342 	   0.61535 	 241.30512 	   1.24686 	   1.69321 	 569.68718 	  1.0072121e+01
      22.6 min  1	   103.28553 	25746.49134 	   0.77948 	 -38.30249 	 116.58991 	 374.93980 	  -0.01123 	   2.89847 	   1.20685 	   3.69294 	  -0.07683 	 218.63630 	  25.92264 	  -0.01263 	 334.74410 	 342.22419 	  77.00704 	 453.55128 	  -9.04816 	  -9.04125 	   0.00024 	   0.00007 	  10.60002 	  -4.73320 	  -7.24895 	   0.00394 	   0.00035 	 927.23766 	  -9.30253 	  -1.87443 	   1.10976 	   1.42915 	   1.70426 	 205.27887 	   0.93575 	   1.11887 	 731.46932 	  7.7297374e+00
      22.6 min  2	   103.28553 	25746.49134 	   0.77948 	 -38.30249 	 116.58991 	 374.93980 	  -0.01123 	   2.89847 	   1.20685 	   3.69294 	  -0.07683 	 218.63630 	  25.92264 	  -0.01263 	 334.74410 	 342.22419 	  77.00704 	 453.55128 	  -9.04816 	  -9.04125 	   0.00024 	   0.00007 	  10.60002 	  -4.73320 	  -7.24895 	   0.00394 	   0.00035 	 927.23766 	  -9.30253 	  -1.87443 	   1.10976 	   1.42915 	   1.70426 	 205.27887 	   0.93575 	   1.11887 	 731.46932 	  7.7297374e+00
      22.6 min  3	   113.90751 	31758.28196 	   0.72330 	 -49.69133 	  91.71550 	 382.82155 	  -0.01130 	   2.76882 	   1.20829 	   3.69781 	  -0.07667 	 221.18165 	  28.20539 	  -0.01197 	 343.66366 	 352.77429 	  79.19458 	 406.47088 	 -10.40229 	  -9.21404 	   0.00036 	   0.00010 	  10.20434 	  -4.11247 	  -7.22065 	   0.00475 	   0.00041 	 949.22419 	  -9.88397 	  -1.12233 	   1.14914 	   2.11389 	   0.78477 	 488.83075 	   0.92677 	   2.55486 	 218.89151 	  6.6196714e+00
      22.6 min  4	   113.90751 	31758.28196 	   0.72330 	 -49.69133 	  91.71550 	 382.82155 	  -0.01130 	   2.76882 	   1.20829 	   3.69781 	  -0.07667 	 221.18165 	  28.20539 	  -0.01197 	 343.66366 	 352.77429 	  79.19458 	 406.47088 	 -10.40229 	  -9.21404 	   0.00036 	   0.00010 	  10.20434 	  -4.11247 	  -7.22065 	   0.00475 	   0.00041 	 949.22419 	  -9.88397 	  -1.12233 	   1.14914 	   2.11389 	   0.78477 	 488.83075 	   0.92677 	   2.55486 	 218.89151 	  6.6196714e+00
      22.7 min  5	   119.57669 	37284.29734 	   0.81082 	 -47.01403 	  98.16255 	 388.80887 	  -0.01171 	   2.51224 	   1.41001 	   3.85292 	  -0.07667 	 221.18165 	  21.16585 	  -0.01476 	 343.66366 	 351.08094 	  79.19458 	 406.47088 	 -10.40229 	  -9.21404 	   0.00036 	   0.00010 	  10.20434 	  -4.17403 	  -7.22065 	   0.00342 	   0.00041 	 949.22419 	  -9.88397 	  -1.12233 	   1.14914 	   2.11389 	   0.78477 	 322.63386 	   0.92677 	   2.55486 	  82.99155 	  6.2985568e+00
      22.7 min  6	   132.63855 	16673.96826 	   0.77297 	 -45.91953 	  90.21928 	 383.05113 	  -0.01144 	   2.49672 	   1.29872 	   3.49506 	  -0.07705 	 228.86109 	  28.04224 	  -0.01100 	 306.01638 	 357.26477 	  73.56974 	 405.41094 	  -9.71178 	  -9.64536 	   0.00085 	   0.00011 	  10.72808 	  -4.30931 	  -7.33961 	   0.00414 	   0.00032 	 907.98058 	  -9.73387 	  -2.10888 	   1.13387 	   1.43790 	   1.35476 	 207.78191 	   2.55486 	   3.12103 	 284.22086 	  6.0565270e+00
      22.7 min  7	   106.12583 	16673.96826 	   0.77297 	 -45.91953 	  90.21928 	 379.11407 	  -0.01203 	   2.06608 	   1.02068 	   3.50111 	  -0.07209 	 212.88026 	  29.48221 	  -0.01375 	 339.92129 	 349.03785 	  64.39708 	 471.14609 	  -9.41598 	  -9.13164 	   0.00046 	   0.00014 	  10.70693 	  -4.94024 	  -6.14670 	   0.00425 	   0.00034 	 905.82925 	  -9.59948 	  -1.56977 	   1.13482 	   2.68929 	   1.19372 	 546.76295 	   1.11933 	   1.16203 	 550.67572 	  5.8571897e+00
      22.7 min  8	   111.44948 	19074.84297 	   0.69358 	 -44.11911 	 104.39708 	 372.51723 	  -0.01422 	   2.48845 	   1.42816 	   3.62455 	  -0.09296 	 215.34169 	  29.93776 	  -0.01285 	 305.14297 	 347.21420 	  53.09121 	 406.33117 	  -9.21509 	  -9.10050 	   0.00028 	   0.00021 	  10.92943 	  -4.48204 	  -7.32580 	   0.00329 	   0.00049 	 928.53398 	  -9.74346 	  -1.01140 	   1.10976 	   1.42915 	   1.70426 	  75.14014 	   3.42531 	   1.47607 	 304.64193 	  5.5934713e+00
      22.8 min  9	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.03751 	  -0.08445 	 205.92632 	  27.89306 	  -0.01001 	 315.87311 	 340.39117 	  78.08112 	 451.56098 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00300 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.15639 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.3286808e+00
      22.8 min  10	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 205.92632 	  27.89306 	  -0.01001 	 315.87311 	 340.39117 	  78.08112 	 451.56098 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.2510209e+00
      22.8 min  11	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0312660e+00
      22.8 min  12	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0312660e+00
      22.9 min  13	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0312660e+00
      22.9 min  14	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0312660e+00
      22.9 min  15	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.08445 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.43358 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   1.62369 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0312660e+00
      22.9 min  16	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.09760 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.68502 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   0.72926 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0308677e+00
      23.0 min  17	   153.62681 	24324.36383 	   0.54908 	 -48.36288 	  97.57148 	 386.24897 	  -0.01293 	   2.83034 	   1.41601 	   3.53368 	  -0.09760 	 202.47005 	  27.89306 	  -0.01001 	 315.87311 	 351.95340 	  78.08112 	 404.90720 	  -9.32429 	  -9.64271 	   0.00042 	   0.00005 	  10.68502 	  -4.17372 	  -6.03269 	   0.00315 	   0.00037 	 901.26380 	  -9.18349 	  -1.03164 	   1.19864 	   0.72926 	   2.66993 	  29.57568 	   2.01825 	   0.63593 	 358.79021 	  5.0308677e+00
      23.0 min  18	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 303.51609 	 346.14968 	  50.01903 	 486.40749 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.84190 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.67845 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7474872e+00
